NO_LAPORAN,TGL_LAPORAN,MO,MO_clean,MO_casefold,MO_normalized,MO_tokens,MO_stopwords,MO_tokens_stemmed,MO_final_text
LP/B/66/IV/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,23 April 2021,"Pelaku berpura-pura menjadi tamu/pembeli, saat korban lengah pelaku mengambil dompet dan HP.",Pelaku berpura pura menjadi tamu pembeli saat korban lengah pelaku mengambil dompet dan HP,pelaku berpura pura menjadi tamu pembeli saat korban lengah pelaku mengambil dompet dan hp,pelaku berpura pura menjadi tamu pembeli saat korban lengah pelaku mengambil dompet dan handphone,"['pelaku', 'berpura', 'pura', 'menjadi', 'tamu', 'pembeli', 'saat', 'korban', 'lengah', 'pelaku', 'mengambil', 'dompet', 'dan', 'handphone']","['pelaku', 'berpura', 'pura', 'tamu', 'pembeli', 'korban', 'lengah', 'pelaku', 'mengambil', 'dompet', 'handphone']","['pelaku', 'pura', 'pura', 'tamu', 'pembeli', 'korban', 'lengah', 'pelaku', 'ambil', 'dompet', 'handphone']",pelaku pura pura tamu pembeli korban lengah pelaku ambil dompet handphone
LP/B/67/IV/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,26 April 2021,Pelaku menyerang korban menggunakan kursi plastik saat terjadi keributan.,Pelaku menyerang korban menggunakan kursi plastik saat terjadi keributan,pelaku menyerang korban menggunakan kursi plastik saat terjadi keributan,pelaku menyerang korban menggunakan kursi plastik saat terjadi keributan,"['pelaku', 'menyerang', 'korban', 'menggunakan', 'kursi', 'plastik', 'saat', 'terjadi', 'keributan']","['pelaku', 'menyerang', 'korban', 'kursi', 'plastik', 'keributan']","['pelaku', 'serang', 'korban', 'kursi', 'plastik', 'ribut']",pelaku serang korban kursi plastik ribut
LP/B/68/IV/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,27 April 2021,Pelaku merusak pagar tanaman milik korban dengan cara menebasnya menggunakan parang karena sengketa batas tanah.,Pelaku merusak pagar tanaman milik korban dengan cara menebasnya menggunakan parang karena sengketa batas tanah,pelaku merusak pagar tanaman milik korban dengan cara menebasnya menggunakan parang karena sengketa batas tanah,pelaku merusak pagar tanaman milik korban dengan cara menebasnya menggunakan parang karena sengketa batas tanah,"['pelaku', 'merusak', 'pagar', 'tanaman', 'milik', 'korban', 'dengan', 'cara', 'menebasnya', 'menggunakan', 'parang', 'karena', 'sengketa', 'batas', 'tanah']","['pelaku', 'merusak', 'pagar', 'tanaman', 'milik', 'korban', 'menebasnya', 'parang', 'sengketa', 'batas', 'tanah']","['pelaku', 'rusak', 'pagar', 'tanam', 'milik', 'korban', 'tebas', 'parang', 'sengketa', 'batas', 'tanah']",pelaku rusak pagar tanam milik korban tebas parang sengketa batas tanah
LP/B/69/IV/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,28 April 2021,"Pelapor memarkirkan ran motor Honda Beat warna biru putih tahun 2012  a.n. Indah Pertiwi di Depan teras Losmen Bulan Bintang dlam keadaan stang ran sepmotnya tidak terkunci kemudian pelapor kembali ke parkiran namun sepmot sudah tidak ada di tempat/hilang. Kerudian : Rp. 8.000.000,- ",Pelapor memarkirkan ran motor Honda Beat warna biru putih tahun a n Indah Pertiwi di Depan teras Losmen Bulan Bintang dlam keadaan stang ran sepmotnya tidak terkunci kemudian pelapor kembali ke parkiran namun sepmot sudah tidak ada di tempat hilang Kerudian Rp,pelapor memarkirkan ran motor honda beat warna biru putih tahun a n indah pertiwi di depan teras losmen bulan bintang dlam keadaan stang ran sepmotnya tidak terkunci kemudian pelapor kembali ke parkiran namun sepmot sudah tidak ada di tempat hilang kerudian rp,pelapor memarkirkan ran motor honda beat warna biru putih tahun a n indah pertiwi di depan teras losmen bulan bintang dalam keadaan stang ran sepmotnya tidak terkunci kemudian pelapor kembali ke parkiran namun sepmot sudah tidak ada di tempat hilang kerudian rupiah,"['pelapor', 'memarkirkan', 'ran', 'motor', 'honda', 'beat', 'warna', 'biru', 'putih', 'tahun', 'a', 'n', 'indah', 'pertiwi', 'di', 'depan', 'teras', 'losmen', 'bulan', 'bintang', 'dalam', 'keadaan', 'stang', 'ran', 'sepmotnya', 'tidak', 'terkunci', 'kemudian', 'pelapor', 'kembali', 'ke', 'parkiran', 'namun', 'sepmot', 'sudah', 'tidak', 'ada', 'di', 'tempat', 'hilang', 'kerudian', 'rupiah']","['pelapor', 'memarkirkan', 'ran', 'motor', 'honda', 'beat', 'warna', 'biru', 'putih', 'indah', 'pertiwi', 'teras', 'losmen', 'bintang', 'stang', 'ran', 'sepmotnya', 'terkunci', 'pelapor', 'parkiran', 'sepmot', 'hilang', 'kerudian', 'rupiah']","['lapor', 'parkir', 'ran', 'motor', 'honda', 'beat', 'warna', 'biru', 'putih', 'indah', 'pertiwi', 'teras', 'losmen', 'bintang', 'stang', 'ran', 'sepmotnya', 'kunci', 'lapor', 'parkir', 'sepmot', 'hilang', 'rudi', 'rupiah']",lapor parkir ran motor honda beat warna biru putih indah pertiwi teras losmen bintang stang ran sepmotnya kunci lapor parkir sepmot hilang rudi rupiah
LP/B/70/IV/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,30 April 2021,Pelaku membanting tablet milik temannya karena kesal tidak dipinjami untuk bermain media sosial.,Pelaku membanting tablet milik temannya karena kesal tidak dipinjami untuk bermain media sosial,pelaku membanting tablet milik temannya karena kesal tidak dipinjami untuk bermain media sosial,pelaku membanting tablet milik temannya karena kesal tidak dipinjami untuk bermain media sosial,"['pelaku', 'membanting', 'tablet', 'milik', 'temannya', 'karena', 'kesal', 'tidak', 'dipinjami', 'untuk', 'bermain', 'media', 'sosial']","['pelaku', 'membanting', 'tablet', 'milik', 'temannya', 'kesal', 'dipinjami', 'bermain', 'media', 'sosial']","['pelaku', 'banting', 'tablet', 'milik', 'teman', 'kesal', 'pinjam', 'main', 'media', 'sosial']",pelaku banting tablet milik teman kesal pinjam main media sosial
LP/B/71/IV/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,31 April 2021,"Pelaku mengamati rumah korban yang sedang kosong, kemudian masuk melalui pintu dapur yang tidak terkunci dan mengambil dompet dan HP.",Pelaku mengamati rumah korban yang sedang kosong kemudian masuk melalui pintu dapur yang tidak terkunci dan mengambil dompet dan HP,pelaku mengamati rumah korban yang sedang kosong kemudian masuk melalui pintu dapur yang tidak terkunci dan mengambil dompet dan hp,pelaku mengamati rumah korban yang sedang kosong kemudian masuk melalui pintu dapur yang tidak terkunci dan mengambil dompet dan handphone,"['pelaku', 'mengamati', 'rumah', 'korban', 'yang', 'sedang', 'kosong', 'kemudian', 'masuk', 'melalui', 'pintu', 'dapur', 'yang', 'tidak', 'terkunci', 'dan', 'mengambil', 'dompet', 'dan', 'handphone']","['pelaku', 'mengamati', 'rumah', 'korban', 'kosong', 'masuk', 'pintu', 'dapur', 'terkunci', 'mengambil', 'dompet', 'handphone']","['pelaku', 'amat', 'rumah', 'korban', 'kosong', 'masuk', 'pintu', 'dapur', 'kunci', 'ambil', 'dompet', 'handphone']",pelaku amat rumah korban kosong masuk pintu dapur kunci ambil dompet handphone
LP/B/72/V/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,1 Mei 2021,"Pelaku mengajak korban kerjasama bisnis jual beli mobil dengan janji keuntungan 20%, namun ternyata bisnis tersebut fiktif.",Pelaku mengajak korban kerjasama bisnis jual beli mobil dengan janji keuntungan namun ternyata bisnis tersebut fiktif,pelaku mengajak korban kerjasama bisnis jual beli mobil dengan janji keuntungan namun ternyata bisnis tersebut fiktif,pelaku mengajak korban kerjasama bisnis jual beli mobil dengan janji keuntungan namun ternyata bisnis tersebut fiktif,"['pelaku', 'mengajak', 'korban', 'kerjasama', 'bisnis', 'jual', 'beli', 'mobil', 'dengan', 'janji', 'keuntungan', 'namun', 'ternyata', 'bisnis', 'tersebut', 'fiktif']","['pelaku', 'mengajak', 'korban', 'kerjasama', 'bisnis', 'jual', 'beli', 'mobil', 'janji', 'keuntungan', 'bisnis', 'fiktif']","['pelaku', 'ajak', 'korban', 'kerjasama', 'bisnis', 'jual', 'beli', 'mobil', 'janji', 'untung', 'bisnis', 'fiktif']",pelaku ajak korban kerjasama bisnis jual beli mobil janji untung bisnis fiktif
LP/B/73/V/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,2 Mei 2021,Pelaku diduga menendang pintu pagar korban hingga engselnya lepas .,Pelaku diduga menendang pintu pagar korban hingga engselnya lepas,pelaku diduga menendang pintu pagar korban hingga engselnya lepas,pelaku diduga menendang pintu pagar korban hingga engselnya lepas,"['pelaku', 'diduga', 'menendang', 'pintu', 'pagar', 'korban', 'hingga', 'engselnya', 'lepas']","['pelaku', 'diduga', 'menendang', 'pintu', 'pagar', 'korban', 'engselnya', 'lepas']","['pelaku', 'duga', 'tendang', 'pintu', 'pagar', 'korban', 'engsel', 'lepas']",pelaku duga tendang pintu pagar korban engsel lepas
LP/B/74/V/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,04 Mei 2021,"Pelaku masuk ke dalam rumah dengan cara mencungkil/merusak jendela kemudian membuka pintu dapur dan langsung mengambil 2 (dua) buah motor dan uang tunai Rp. 1.500.000,-",Pelaku masuk ke dalam rumah dengan cara mencungkil merusak jendela kemudian membuka pintu dapur dan langsung mengambil dua buah motor dan uang tunai Rp,pelaku masuk ke dalam rumah dengan cara mencungkil merusak jendela kemudian membuka pintu dapur dan langsung mengambil dua buah motor dan uang tunai rp,pelaku masuk ke dalam rumah dengan cara mencungkil merusak jendela kemudian membuka pintu dapur dan langsung mengambil dua buah motor dan uang tunai rupiah,"['pelaku', 'masuk', 'ke', 'dalam', 'rumah', 'dengan', 'cara', 'mencungkil', 'merusak', 'jendela', 'kemudian', 'membuka', 'pintu', 'dapur', 'dan', 'langsung', 'mengambil', 'dua', 'buah', 'motor', 'dan', 'uang', 'tunai', 'rupiah']","['pelaku', 'masuk', 'rumah', 'mencungkil', 'merusak', 'jendela', 'membuka', 'pintu', 'dapur', 'langsung', 'mengambil', 'buah', 'motor', 'uang', 'tunai', 'rupiah']","['pelaku', 'masuk', 'rumah', 'cungkil', 'rusak', 'jendela', 'buka', 'pintu', 'dapur', 'langsung', 'ambil', 'buah', 'motor', 'uang', 'tunai', 'rupiah']",pelaku masuk rumah cungkil rusak jendela buka pintu dapur langsung ambil buah motor uang tunai rupiah
LP/B/75/V/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,5 Mei 2021,Pelaku menampar korban karena cemburu dalam hubungan asmara.,Pelaku menampar korban karena cemburu dalam hubungan asmara,pelaku menampar korban karena cemburu dalam hubungan asmara,pelaku menampar korban karena cemburu dalam hubungan asmara,"['pelaku', 'menampar', 'korban', 'karena', 'cemburu', 'dalam', 'hubungan', 'asmara']","['pelaku', 'menampar', 'korban', 'cemburu', 'hubungan', 'asmara']","['pelaku', 'tampar', 'korban', 'cemburu', 'hubung', 'asmara']",pelaku tampar korban cemburu hubung asmara
LP/B/76/V/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,6 Mei 2021,Pelaku memiliki dendam sehingga menyiramkan oli bekas ke teras dan tembok rumah korban hingga meninggalkan noda permanen.,Pelaku memiliki dendam sehingga menyiramkan oli bekas ke teras dan tembok rumah korban hingga meninggalkan noda permanen,pelaku memiliki dendam sehingga menyiramkan oli bekas ke teras dan tembok rumah korban hingga meninggalkan noda permanen,pelaku memiliki dendam sehingga menyiramkan oli bekas ke teras dan tembok rumah korban hingga meninggalkan noda permanen,"['pelaku', 'memiliki', 'dendam', 'sehingga', 'menyiramkan', 'oli', 'bekas', 'ke', 'teras', 'dan', 'tembok', 'rumah', 'korban', 'hingga', 'meninggalkan', 'noda', 'permanen']","['pelaku', 'memiliki', 'dendam', 'menyiramkan', 'oli', 'bekas', 'teras', 'tembok', 'rumah', 'korban', 'meninggalkan', 'noda', 'permanen']","['pelaku', 'milik', 'dendam', 'siram', 'oli', 'bekas', 'teras', 'tembok', 'rumah', 'korban', 'tinggal', 'noda', 'permanen']",pelaku milik dendam siram oli bekas teras tembok rumah korban tinggal noda permanen
LP/B/77/V/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,08 Mei 2021,"Pelaku masuk ke rumah dengan cara merusak jendela kemudian mengambil 1 (satu) unit handphone (HP) merk Samsung J7 No. IMEI 352806090280136 dan 1 (satu) unit motor merk Honda Vario KB 2095 BY warna hitam tahun 2018, Noka : MH1JFU122JK205023, Nosin : JFU1E224796. Kerugian : Rp. 20.000.000,-",Pelaku masuk ke rumah dengan cara merusak jendela kemudian mengambil satu unit handphone HP merk Samsung J No IMEI dan satu unit motor merk Honda Vario KB BY warna hitam tahun Noka MH JFU JK Nosin JFU E Kerugian Rp,pelaku masuk ke rumah dengan cara merusak jendela kemudian mengambil satu unit handphone hp merk samsung j no imei dan satu unit motor merk honda vario kb by warna hitam tahun noka mh jfu jk nosin jfu e kerugian rp,pelaku masuk ke rumah dengan cara merusak jendela kemudian mengambil satu unit handphone handphone merk samsung saja no imei dan satu unit motor merk honda vario kb by warna hitam tahun noka mah jfu jika nosin jfu e kerugian rupiah,"['pelaku', 'masuk', 'ke', 'rumah', 'dengan', 'cara', 'merusak', 'jendela', 'kemudian', 'mengambil', 'satu', 'unit', 'handphone', 'handphone', 'merk', 'samsung', 'saja', 'no', 'imei', 'dan', 'satu', 'unit', 'motor', 'merk', 'honda', 'vario', 'kb', 'by', 'warna', 'hitam', 'tahun', 'noka', 'mah', 'jfu', 'jika', 'nosin', 'jfu', 'e', 'kerugian', 'rupiah']","['pelaku', 'masuk', 'rumah', 'merusak', 'jendela', 'mengambil', 'unit', 'handphone', 'handphone', 'merk', 'samsung', 'imei', 'unit', 'motor', 'merk', 'honda', 'vario', 'warna', 'hitam', 'noka', 'mah', 'jfu', 'nosin', 'jfu', 'kerugian', 'rupiah']","['pelaku', 'masuk', 'rumah', 'rusak', 'jendela', 'ambil', 'unit', 'handphone', 'handphone', 'merk', 'samsung', 'imei', 'unit', 'motor', 'merk', 'honda', 'vario', 'warna', 'hitam', 'noka', 'mah', 'jfu', 'nosin', 'jfu', 'rugi', 'rupiah']",pelaku masuk rumah rusak jendela ambil unit handphone handphone merk samsung imei unit motor merk honda vario warna hitam noka mah jfu nosin jfu rugi rupiah
LP/B/78/V/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,08 Mei 2021,"Pelapor mendapatkan informasi dari Moc pusat via telepon bahwa sinyal tower PT.H3I/Try di Peniraman down/mati, pelapor langsung mengecek ke lokasi dan melihat gembok pagar sudah hilang dan material tower sudah dirusak dan hilang, adapun alat-alat yang hillang berupa 6 (enam) pcs Feeder Cable, 6 (enam) pcs Jumper Cable, 2 (dua) meter kabel Reoti TO bateri, 2 (dua) meter kabel DODU APM 30 TO DODU TMC, 1 (satu) pcs Aki Genset, 4 (empat) pcs baterai BTS merk Ritar, 50 )lima puluh) meter kabel Coex, 6 (enam) pcs Konektor Feeder. Kerugian : Rp. 13.000.000,-",Pelapor mendapatkan informasi dari Moc pusat via telepon bahwa sinyal tower PT H I Try di Peniraman down mati pelapor langsung mengecek ke lokasi dan melihat gembok pagar sudah hilang dan material tower sudah dirusak dan hilang adapun alat alat yang hillang berupa enam pcs Feeder Cable enam pcs Jumper Cable dua meter kabel Reoti TO bateri dua meter kabel DODU APM TO DODU TMC satu pcs Aki Genset empat pcs baterai BTS merk Ritar lima puluh meter kabel Coex enam pcs Konektor Feeder Kerugian Rp,pelapor mendapatkan informasi dari moc pusat via telepon bahwa sinyal tower pt h i try di peniraman down mati pelapor langsung mengecek ke lokasi dan melihat gembok pagar sudah hilang dan material tower sudah dirusak dan hilang adapun alat alat yang hillang berupa enam pcs feeder cable enam pcs jumper cable dua meter kabel reoti to bateri dua meter kabel dodu apm to dodu tmc satu pcs aki genset empat pcs baterai bts merk ritar lima puluh meter kabel coex enam pcs konektor feeder kerugian rp,pelapor mendapatkan informasi dari moc pusat via telepon bahwa sinyal tower pt h i try di peniraman down mati pelapor langsung mengecek ke lokasi dan melihat gembok pagar sudah hilang dan material tower sudah dirusak dan hilang adapun alat alat yang hillang berupa enam pcs feeder cable enam pcs jumper cable dua meter kabel reoti tapi bateri dua meter kabel dodu apm tapi dodu tmc satu pcs aki genset empat pcs baterai bts merk ritar lima puluh meter kabel coex enam pcs konektor feeder kerugian rupiah,"['pelapor', 'mendapatkan', 'informasi', 'dari', 'moc', 'pusat', 'via', 'telepon', 'bahwa', 'sinyal', 'tower', 'pt', 'h', 'i', 'try', 'di', 'peniraman', 'down', 'mati', 'pelapor', 'langsung', 'mengecek', 'ke', 'lokasi', 'dan', 'melihat', 'gembok', 'pagar', 'sudah', 'hilang', 'dan', 'material', 'tower', 'sudah', 'dirusak', 'dan', 'hilang', 'adapun', 'alat', 'alat', 'yang', 'hillang', 'berupa', 'enam', 'pcs', 'feeder', 'cable', 'enam', 'pcs', 'jumper', 'cable', 'dua', 'meter', 'kabel', 'reoti', 'tapi', 'bateri', 'dua', 'meter', 'kabel', 'dodu', 'apm', 'tapi', 'dodu', 'tmc', 'satu', 'pcs', 'aki', 'genset', 'empat', 'pcs', 'baterai', 'bts', 'merk', 'ritar', 'lima', 'puluh', 'meter', 'kabel', 'coex', 'enam', 'pcs', 'konektor', 'feeder', 'kerugian', 'rupiah']","['pelapor', 'informasi', 'moc', 'pusat', 'via', 'telepon', 'sinyal', 'tower', 'try', 'peniraman', 'down', 'mati', 'pelapor', 'langsung', 'mengecek', 'lokasi', 'gembok', 'pagar', 'hilang', 'material', 'tower', 'dirusak', 'hilang', 'alat', 'alat', 'hillang', 'enam', 'pcs', 'feeder', 'cable', 'enam', 'pcs', 'jumper', 'cable', 'meter', 'kabel', 'reoti', 'bateri', 'meter', 'kabel', 'dodu', 'apm', 'dodu', 'tmc', 'pcs', 'aki', 'genset', 'pcs', 'baterai', 'bts', 'merk', 'ritar', 'puluh', 'meter', 'kabel', 'coex', 'enam', 'pcs', 'konektor', 'feeder', 'kerugian', 'rupiah']","['lapor', 'informasi', 'moc', 'pusat', 'via', 'telepon', 'sinyal', 'tower', 'try', 'tiram', 'down', 'mati', 'lapor', 'langsung', 'ecek', 'lokasi', 'gembok', 'pagar', 'hilang', 'material', 'tower', 'rusak', 'hilang', 'alat', 'alat', 'hillang', 'enam', 'pcs', 'feeder', 'cable', 'enam', 'pcs', 'jumper', 'cable', 'meter', 'kabel', 'reot', 'bateri', 'meter', 'kabel', 'dodu', 'apm', 'dodu', 'tmc', 'pcs', 'aki', 'genset', 'pcs', 'baterai', 'bts', 'merk', 'ritar', 'puluh', 'meter', 'kabel', 'coex', 'enam', 'pcs', 'konektor', 'feeder', 'rugi', 'rupiah']",lapor informasi moc pusat via telepon sinyal tower try tiram down mati lapor langsung ecek lokasi gembok pagar hilang material tower rusak hilang alat alat hillang enam pcs feeder cable enam pcs jumper cable meter kabel reot bateri meter kabel dodu apm dodu tmc pcs aki genset pcs baterai bts merk ritar puluh meter kabel coex enam pcs konektor feeder rugi rupiah
LP/B/79/V/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,10 Mei 2021,"Pelapor mengetahui adanya pencurian dari Sdri. Dwi selaku MS. Indosat melalui telepon mengatakan bahwa telah terjadi pencurian di Tower Indosat site ID 2110095, kemudian pelapor mengecek ke lokasi dan melihat rantai dan gembok telah hilang pintu rak perangkat XL dirusak, adapun perangkat yang hilang berupa 2 Bank 8 Cell baterai BTS merk Genesis tipe 12TD100F4 kapasitas 106 AH. Kerugian : Rp. 24.000.000,-",Pelapor mengetahui adanya pencurian dari Sdri Dwi selaku MS Indosat melalui telepon mengatakan bahwa telah terjadi pencurian di Tower Indosat site ID kemudian pelapor mengecek ke lokasi dan melihat rantai dan gembok telah hilang pintu rak perangkat XL dirusak adapun perangkat yang hilang berupa Bank Cell baterai BTS merk Genesis tipe TD F kapasitas AH Kerugian Rp,pelapor mengetahui adanya pencurian dari sdri dwi selaku ms indosat melalui telepon mengatakan bahwa telah terjadi pencurian di tower indosat site id kemudian pelapor mengecek ke lokasi dan melihat rantai dan gembok telah hilang pintu rak perangkat xl dirusak adapun perangkat yang hilang berupa bank cell baterai bts merk genesis tipe td f kapasitas ah kerugian rp,pelapor mengetahui adanya pencurian dari sendiri dwi selaku masih indosat melalui telepon mengatakan bahwa telah terjadi pencurian di tower indosat site id kemudian pelapor mengecek ke lokasi dan melihat rantai dan gembok telah hilang pintu rak perangkat xl dirusak adapun perangkat yang hilang berupa bank cell baterai bts merk genesis tipe tadi f kapasitas ah kerugian rupiah,"['pelapor', 'mengetahui', 'adanya', 'pencurian', 'dari', 'sendiri', 'dwi', 'selaku', 'masih', 'indosat', 'melalui', 'telepon', 'mengatakan', 'bahwa', 'telah', 'terjadi', 'pencurian', 'di', 'tower', 'indosat', 'site', 'id', 'kemudian', 'pelapor', 'mengecek', 'ke', 'lokasi', 'dan', 'melihat', 'rantai', 'dan', 'gembok', 'telah', 'hilang', 'pintu', 'rak', 'perangkat', 'xl', 'dirusak', 'adapun', 'perangkat', 'yang', 'hilang', 'berupa', 'bank', 'cell', 'baterai', 'bts', 'merk', 'genesis', 'tipe', 'tadi', 'f', 'kapasitas', 'ah', 'kerugian', 'rupiah']","['pelapor', 'pencurian', 'dwi', 'indosat', 'telepon', 'pencurian', 'tower', 'indosat', 'site', 'pelapor', 'mengecek', 'lokasi', 'rantai', 'gembok', 'hilang', 'pintu', 'rak', 'perangkat', 'dirusak', 'perangkat', 'hilang', 'bank', 'cell', 'baterai', 'bts', 'merk', 'genesis', 'tipe', 'kapasitas', 'kerugian', 'rupiah']","['lapor', 'curi', 'dwi', 'indosat', 'telepon', 'curi', 'tower', 'indosat', 'site', 'lapor', 'ecek', 'lokasi', 'rantai', 'gembok', 'hilang', 'pintu', 'rak', 'perangkat', 'rusak', 'perangkat', 'hilang', 'bank', 'cell', 'baterai', 'bts', 'merk', 'genesis', 'tipe', 'kapasitas', 'rugi', 'rupiah']",lapor curi dwi indosat telepon curi tower indosat site lapor ecek lokasi rantai gembok hilang pintu rak perangkat rusak perangkat hilang bank cell baterai bts merk genesis tipe kapasitas rugi rupiah
LP/B/80/V/2021/Kalbar/Res/Mpw/Sek/Sui Pinyuh,13 Mei 2021,Pelaku memanjat pagar rumah korban pada malam hari dan mengambil dompet berisi uang dan surat-surat yang berada di teras.,Pelaku memanjat pagar rumah korban pada malam hari dan mengambil dompet berisi uang dan surat surat yang berada di teras,pelaku memanjat pagar rumah korban pada malam hari dan mengambil dompet berisi uang dan surat surat yang berada di teras,pelaku memanjat pagar rumah korban pada malam hari dan mengambil dompet berisi uang dan surat surat yang berada di teras,"['pelaku', 'memanjat', 'pagar', 'rumah', 'korban', 'pada', 'malam', 'hari', 'dan', 'mengambil', 'dompet', 'berisi', 'uang', 'dan', 'surat', 'surat', 'yang', 'berada', 'di', 'teras']","['pelaku', 'memanjat', 'pagar', 'rumah', 'korban', 'malam', 'mengambil', 'dompet', 'berisi', 'uang', 'surat', 'surat', 'teras']","['pelaku', 'panjat', 'pagar', 'rumah', 'korban', 'malam', 'ambil', 'dompet', 'isi', 'uang', 'surat', 'surat', 'teras']",pelaku panjat pagar rumah korban malam ambil dompet isi uang surat surat teras
LP/B/81/V/2021/Kalbar/Res/Mpw/Sek/Sui Pinyuh,15 Mei 2021,Pelaku menendang korban di bagian perut karena masalah hutang piutang.,Pelaku menendang korban di bagian perut karena masalah hutang piutang,pelaku menendang korban di bagian perut karena masalah hutang piutang,pelaku menendang korban di bagian perut karena masalah hutang piutang,"['pelaku', 'menendang', 'korban', 'di', 'bagian', 'perut', 'karena', 'masalah', 'hutang', 'piutang']","['pelaku', 'menendang', 'korban', 'perut', 'hutang', 'piutang']","['pelaku', 'tendang', 'korban', 'perut', 'hutang', 'piutang']",pelaku tendang korban perut hutang piutang
LP/B/82/V/2021/Kalbar/Res/Mpw/Sek/Sui Pinyuh,16 Mei 2021,"Pelaku melakukan pencurian dengan pemberatan, merusak pintu ruko dan mengambil 2 buah tabung gas 3kg.",Pelaku melakukan pencurian dengan pemberatan merusak pintu ruko dan mengambil buah tabung gas kg,pelaku melakukan pencurian dengan pemberatan merusak pintu ruko dan mengambil buah tabung gas kg,pelaku melakukan pencurian dengan pemberatan merusak pintu ruko dan mengambil buah tabung gas kilo,"['pelaku', 'melakukan', 'pencurian', 'dengan', 'pemberatan', 'merusak', 'pintu', 'ruko', 'dan', 'mengambil', 'buah', 'tabung', 'gas', 'kilo']","['pelaku', 'pencurian', 'pemberatan', 'merusak', 'pintu', 'ruko', 'mengambil', 'buah', 'tabung', 'gas', 'kilo']","['pelaku', 'curi', 'berat', 'rusak', 'pintu', 'ruko', 'ambil', 'buah', 'tabung', 'gas', 'kilo']",pelaku curi berat rusak pintu ruko ambil buah tabung gas kilo
LP/B/83/V/2021/Kalbar/Res/Mpw/Sek/Sui Pinyuh,17 Mei 2021,Pelaku melempar korban menggunakan asbak rokok mengenai pelipis korban hingga luka robek.,Pelaku melempar korban menggunakan asbak rokok mengenai pelipis korban hingga luka robek,pelaku melempar korban menggunakan asbak rokok mengenai pelipis korban hingga luka robek,pelaku melempar korban menggunakan asbak rokok mengenai pelipis korban hingga luka robek,"['pelaku', 'melempar', 'korban', 'menggunakan', 'asbak', 'rokok', 'mengenai', 'pelipis', 'korban', 'hingga', 'luka', 'robek']","['pelaku', 'melempar', 'korban', 'asbak', 'rokok', 'pelipis', 'korban', 'luka', 'robek']","['pelaku', 'lempar', 'korban', 'asbak', 'rokok', 'pelipis', 'korban', 'luka', 'robek']",pelaku lempar korban asbak rokok pelipis korban luka robek
LP/B/84/V/2021/Kalbar/Res/Mpw/Sek/Sui Pinyuh,18 Mei 2021,Pelaku memotong kabel internet (wifi) tetangganya menggunakan gunting besar karena iri tidak punya internet.,Pelaku memotong kabel internet wifi tetangganya menggunakan gunting besar karena iri tidak punya internet,pelaku memotong kabel internet wifi tetangganya menggunakan gunting besar karena iri tidak punya internet,pelaku memotong kabel internet wifi tetangganya menggunakan gunting besar karena iri tidak punya internet,"['pelaku', 'memotong', 'kabel', 'internet', 'wifi', 'tetangganya', 'menggunakan', 'gunting', 'besar', 'karena', 'iri', 'tidak', 'punya', 'internet']","['pelaku', 'memotong', 'kabel', 'internet', 'wifi', 'tetangganya', 'gunting', 'iri', 'internet']","['pelaku', 'potong', 'kabel', 'internet', 'wifi', 'tetangga', 'gunting', 'iri', 'internet']",pelaku potong kabel internet wifi tetangga gunting iri internet
LP/B/85/V/2021/Kalbar/Res/Mpw/Sek/Sui Pinyuh,19 Mei 2021,"Pelaku meminjam uang kepada korban dengan alasan untuk modal usaha dan menjanjikan keuntungan, namun tidak ditepati.",Pelaku meminjam uang kepada korban dengan alasan untuk modal usaha dan menjanjikan keuntungan namun tidak ditepati,pelaku meminjam uang kepada korban dengan alasan untuk modal usaha dan menjanjikan keuntungan namun tidak ditepati,pelaku meminjam uang kepada korban dengan alasan untuk modal usaha dan menjanjikan keuntungan namun tidak ditepati,"['pelaku', 'meminjam', 'uang', 'kepada', 'korban', 'dengan', 'alasan', 'untuk', 'modal', 'usaha', 'dan', 'menjanjikan', 'keuntungan', 'namun', 'tidak', 'ditepati']","['pelaku', 'meminjam', 'uang', 'korban', 'alasan', 'modal', 'usaha', 'menjanjikan', 'keuntungan', 'ditepati']","['pelaku', 'pinjam', 'uang', 'korban', 'alas', 'modal', 'usaha', 'janji', 'untung', 'tepat']",pelaku pinjam uang korban alas modal usaha janji untung tepat
